OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
555,8043978500,"Census Tract 9785, Fremont County, Colorado",8043978500,FREMONT,8.87,0.03,5273,594.5
556,8043978400,"Census Tract 9784, Fremont County, Colorado",8043978400,FREMONT,3.26,0.01,2400,736.2
557,8001008709,"Census Tract 87.09, Adams County, Colorado",8001008709,ADAMS,3.01,0.05,7997,2656.8
558,8001009751,"Census Tract 97.51, Adams County, Colorado",8001009751,ADAMS,1.14,0.16,3781,3316.7
559,8001009752,"Census Tract 97.52, Adams County, Colorado",8001009752,ADAMS,0.78,0,3483,4465.4
560,8001007801,"Census Tract 78.01, Adams County, Colorado",8001007801,ADAMS,0.25,0,4412,17648
561,8001008309,"Census Tract 83.09, Adams County, Colorado",8001008309,ADAMS,4.69,0.01,3847,820.3
562,8001008308,"Census Tract 83.08, Adams County, Colorado",8001008308,ADAMS,1.69,0.01,5527,3270.4
563,8001008100,"Census Tract 81, Adams County, Colorado",8001008100,ADAMS,1.04,0,1563,1502.9
564,8001008000,"Census Tract 80, Adams County, Colorado",8001008000,ADAMS,0.77,0,6412,8327.3
565,8001008353,"Census Tract 83.53, Adams County, Colorado",8001008353,ADAMS,43.3,0.23,7088,163.7
